contentid,originimgurl,smallimageurl,cpyrhtDivCd,imgname,serialnum
2874315,http://tong.visitkorea.or.kr/cms/resource/75/2895175_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/75/2895175_image3_1.png,Type3,이운성_강원도_고성군_만성횟집_내부,2895175_3
2907911,http://tong.visitkorea.or.kr/cms/resource/63/2907863_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/63/2907863_image3_1.JPG,Type3,강원도_고성군_명파해변캠핑장_전경 (2),2907863_2
2907911,http://tong.visitkorea.or.kr/cms/resource/64/2907864_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/2907864_image3_1.JPG,Type3,강원도_고성군_명파해변캠핑장_전경 (3),2907864_5
2907911,http://tong.visitkorea.or.kr/cms/resource/65/2907865_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2907865_image3_1.JPG,Type3,강원도_고성군_명파해변캠핑장_전경 (4),2907865_4
2907911,http://tong.visitkorea.or.kr/cms/resource/66/2907866_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/66/2907866_image3_1.JPG,Type3,강원도_고성군_명파해변캠핑장_전경 (5),2907866_3
2907961,http://tong.visitkorea.or.kr/cms/resource/27/2907927_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/27/2907927_image3_1.JPG,Type3,강원도_고성군_자작도캠핑장_전경 (2),2907927_4
2907961,http://tong.visitkorea.or.kr/cms/resource/28/2907928_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/28/2907928_image3_1.JPG,Type3,강원도_고성군_자작도캠핑장_전경 (3),2907928_2
2907961,http://tong.visitkorea.or.kr/cms/resource/29/2907929_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2907929_image3_1.JPG,Type3,강원도_고성군_자작도캠핑장_전경 (4),2907929_3
2907961,http://tong.visitkorea.or.kr/cms/resource/30/2907930_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/30/2907930_image3_1.JPG,Type3,강원도_고성군_자작도캠핑장_전경 (5),2907930_1
2929467,http://tong.visitkorea.or.kr/cms/resource/62/2929462_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/62/2929462_image3_1.JPG,Type3,강원도_고성군_소울브릿지_브런치,2929462_4
2929467,http://tong.visitkorea.or.kr/cms/resource/63/2929463_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/63/2929463_image3_1.JPG,Type3,강원도_고성군_소울브릿지_실내 (1),2929463_1
2929467,http://tong.visitkorea.or.kr/cms/resource/64/2929464_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/64/2929464_image3_1.JPG,Type3,강원도_고성군_소울브릿지_실내 (2),2929464_3
2929467,http://tong.visitkorea.or.kr/cms/resource/65/2929465_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/65/2929465_image3_1.JPG,Type3,강원도_고성군_소울브릿지_음료,2929465_2
2941159,http://tong.visitkorea.or.kr/cms/resource/91/2941091_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2941091_image3_1.jpg,Type3,서로재 (1),2941091_9
2941159,http://tong.visitkorea.or.kr/cms/resource/99/2941099_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2941099_image3_1.jpg,Type3,서로재 (9),2941099_7
2941159,http://tong.visitkorea.or.kr/cms/resource/00/2941100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2941100_image3_1.jpg,Type3,서로재 (10),2941100_1
2941159,http://tong.visitkorea.or.kr/cms/resource/02/2941102_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/2941102_image3_1.jpg,Type3,서로재 (12),2941102_3
2941159,http://tong.visitkorea.or.kr/cms/resource/03/2941103_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/03/2941103_image3_1.jpg,Type3,서로재 (13),2941103_4
2941159,http://tong.visitkorea.or.kr/cms/resource/04/2941104_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/2941104_image3_1.jpg,Type3,서로재 (14),2941104_6
2941159,http://tong.visitkorea.or.kr/cms/resource/05/2941105_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2941105_image3_1.jpg,Type3,서로재 (15),2941105_2
2941159,http://tong.visitkorea.or.kr/cms/resource/08/2941108_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2941108_image3_1.jpg,Type3,서로재 (18),2941108_8
2941159,http://tong.visitkorea.or.kr/cms/resource/09/2941109_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2941109_image3_1.jpg,Type3,서로재 (19),2941109_5
2941159,http://tong.visitkorea.or.kr/cms/resource/93/2941093_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2941093_image3_1.jpg,Type3,서로재 (3),2941093_17
3065391,http://tong.visitkorea.or.kr/cms/resource/71/3065371_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3065371_image3_1.jpg,Type3,문암다이브리조트 (1),3065371_9
3065391,http://tong.visitkorea.or.kr/cms/resource/72/3065372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/3065372_image3_1.jpg,Type3,문암다이브리조트 (2),3065372_1
3065391,http://tong.visitkorea.or.kr/cms/resource/76/3065376_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/76/3065376_image3_1.jpg,Type3,문암다이브리조트 (6),3065376_4
3065391,http://tong.visitkorea.or.kr/cms/resource/77/3065377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/3065377_image3_1.jpg,Type3,문암다이브리조트 (7),3065377_3
3065391,http://tong.visitkorea.or.kr/cms/resource/78/3065378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/3065378_image3_1.jpg,Type3,문암다이브리조트 (8),3065378_8
3065391,http://tong.visitkorea.or.kr/cms/resource/80/3065380_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/3065380_image3_1.jpg,Type3,문암다이브리조트 (10),3065380_7
3065391,http://tong.visitkorea.or.kr/cms/resource/82/3065382_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/3065382_image3_1.jpg,Type3,문암다이브리조트 (12),3065382_5
3065391,http://tong.visitkorea.or.kr/cms/resource/83/3065383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/3065383_image3_1.jpg,Type3,문암다이브리조트 (13),3065383_2
3065391,http://tong.visitkorea.or.kr/cms/resource/85/3065385_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3065385_image3_1.jpg,Type3,문암다이브리조트 (15),3065385_6
3068031,http://tong.visitkorea.or.kr/cms/resource/27/3068027_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/3068027_image3_1.jpg,Type3,공방스테이커피 (2),3068027_1
3068031,http://tong.visitkorea.or.kr/cms/resource/28/3068028_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/28/3068028_image3_1.jpg,Type3,공방스테이커피 (3),3068028_3
3068031,http://tong.visitkorea.or.kr/cms/resource/29/3068029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/3068029_image3_1.jpg,Type3,공방스테이커피 (4),3068029_2
